bizesNm,indsLclsNm,indsMclsNm,adongNm,sigunguNm,sigunguDetailNm,rdnAdr
일곡리틀팍스어학원,교육,기타 교육,일곡동,광주광역시,북구,광주광역시 북구 설죽로 512
모닝투어,시설관리·임대,여행사·보조,충장동,광주광역시,동구,광주광역시 동구 구성로204번길 26
뚜루네일,수리·개인,이용·미용,풍암동,광주광역시,서구,광주광역시 서구 풍암신흥로62번길 3-21
창평전현숙국밥,음식,한식,건국동,광주광역시,북구,광주광역시 북구 본촌택지로30번길 27
송정수치과의원,보건의료,의원,송정1동,광주광역시,광산구,광주광역시 광산구 송정로 61
남양철물,소매,철물·건설자재 소매,계림1동,광주광역시,동구,광주광역시 동구 독립로 342-1
무안수퍼,소매,종합 소매,신안동,광주광역시,북구,광주광역시 북구 무등로 71-8
대성부식,소매,식료품 소매,비아동,광주광역시,광산구,광주광역시 광산구 비아동원촌길 9
워시엔조이셀프빨래방광주수완동점,수리·개인,세탁,수완동,광주광역시,광산구,광주광역시 광산구 수완로74번길 29-13
한일전기서비스센터,수리·개인,가전제품 수리,화정1동,광주광역시,서구,광주광역시 서구 상무대로 1011-1
신양파크호텔예원,음식,중식,지산2동,광주광역시,동구,광주광역시 동구 지호로 214-7
보성식육식당,음식,한식,운암2동,광주광역시,북구,광주광역시 북구 비엔날레로 16
하늘약국,소매,의약·화장품 소매,계림2동,광주광역시,동구,광주광역시 동구 무등로 405
박약국,소매,의약·화장품 소매,백운1동,광주광역시,남구,광주광역시 남구 백운로 73
희망+공인중개사사무소,부동산,부동산 서비스,화정2동,광주광역시,서구,광주광역시 서구 월드컵4강로28번길 43-1
멜로우광주,수리·개인,이용·미용,치평동,광주광역시,서구,광주광역시 서구 상무누리로 22
카페미로,음식,비알코올 ,화정2동,광주광역시,서구,광주광역시 서구 화운로23번길 12-10
다모아당구장,예술·스포츠,스포츠 서비스,양림동,광주광역시,남구,광주광역시 남구 양림로 39
예스무인호텔,숙박,일반 숙박,첨단2동,광주광역시,광산구,광주광역시 광산구 첨단중앙로124번길 5-26
한가족의원,보건의료,의원,학운동,광주광역시,동구,광주광역시 동구 학소로 134
변호사김혜민법률사무소,과학·기술,법무관련 ,치평동,광주광역시,서구,광주광역시 서구 시청로96번길 15
케이에이치솔루션(컴케어플러스),시설관리·임대,산업용품 대여,용봉동,광주광역시,북구,광주광역시 북구 용봉로 77
두드림스포츠클럽,교육,기타 교육,문화동,광주광역시,북구,광주광역시 북구 동문대로 206
중앙카종합타운,수리·개인,자동차 수리·세차,사직동,광주광역시,남구,광주광역시 남구 천변좌로 360
토종골생태탕,음식,한식,농성1동,광주광역시,서구,광주광역시 서구 경열로75번길 7
유현인테리어,과학·기술,전문 디자인,일곡동,광주광역시,북구,광주광역시 북구 일곡마을로 13
토탈구조기술사사무소,과학·기술,기술 서비스,풍암동,광주광역시,서구,광주광역시 서구 풍암1로 6
